id,ukprn,university,year,source_url,download_timestamp,pdf_path,txt_path,json_path
7161,10007785,The University of Bradford,2022,,,,extracted_text/University_of_Bradford_Financial-statement-2021-22.txt,extracted_text/University_of_Bradford_Financial-statement-2021-22.json
7162,10003645,King's College London,2020,,,,extracted_text/Kings_College_London_august-2019-january-2020.txt,extracted_text/Kings_College_London_august-2019-january-2020.json
7163,10004063,London School of Economics and Political Science,2024,,,,extracted_text/London_School_of_Economics_LSE_2023-24-LSE-Annual-Accounts.txt,extracted_text/London_School_of_Economics_LSE_2023-24-LSE-Annual-Accounts.json
7164,10007802,The University of Reading,2026,,,,extracted_text/University_of_Reading_2025_finance2025statement.txt,extracted_text/University_of_Reading_2025_finance2025statement.json
7165,10006842,The University of Liverpool,2011,,,,extracted_text/University_of_Liverpool_Annual_Accounts_2010-2011.txt,extracted_text/University_of_Liverpool_Annual_Accounts_2010-2011.json
7166,10005553,Royal Holloway and Bedford New College,2015,,,,extracted_text/Royal_Holloway_Univ_of_London_rhul-financial-statements-2014.txt,extracted_text/Royal_Holloway_Univ_of_London_rhul-financial-statements-2014.json
7167,10005500,Robert Gordon University,2020,,,,extracted_text/Robert_Gordon_University_Univation-Annual-Report-and-Financial-Statements-31-July-2019.txt,extracted_text/Robert_Gordon_University_Univation-Annual-Report-and-Financial-Statements-31-July-2019.json
7168,10005561,Royal Conservatoire of Scotland,2019,,,,extracted_text/Royal_Conservatoire_of_Scotland_2018-19-Signed-Accounts.txt,extracted_text/Royal_Conservatoire_of_Scotland_2018-19-Signed-Accounts.json
7169,10007786,The University of Bristol,2010,,,,extracted_text/University_of_the_Highlands_and_Islands_uhi-accounts-2009-10.txt,
7170,10005561,Royal Conservatoire of Scotland,2020,,,,extracted_text/Royal_Conservatoire_of_Scotland_2019-20-Signed-Accounts_compressed.txt,extracted_text/Royal_Conservatoire_of_Scotland_2019-20-Signed-Accounts_compressed.json
