University,Country,Domain,Year,URL
St Mary’s University College,Northern Ireland,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DJS349/financial-accountant
St Mary’s University College,Northern Ireland,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DKE480/financial-accounting-manager
St Mary’s University College,Northern Ireland,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DBK908/financial-accountant
St Mary’s University College,Northern Ireland,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DKQ660/group-financial-accountant
St Mary’s University College,Northern Ireland,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DIT711/interim-senior-financial-accounting-manager
St Mary’s University College,Northern Ireland,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DGT752/financial-accounting-assistant
St Mary’s University College,Northern Ireland,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DKY579/financial-accountant
St Mary’s University College,Northern Ireland,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DLL249/head-of-management-accounts
Stranmillis University College,Northern Ireland,research-information.bris.ac.uk,2001,https://research-information.bris.ac.uk/en/publications/annual-report-on-asylum-and-migration-2001
Stranmillis University College,Northern Ireland,research-information.bris.ac.uk,N/A,https://research-information.bris.ac.uk/en/publications/annual-reports-on-the-progress-of-chemistry
Stranmillis University College,Northern Ireland,research-information.bris.ac.uk,N/A,https://research-information.bris.ac.uk/en/activities/annual-reports-section-a-inorganic-chemistry-journal
