University,Country,Domain,Year,URL
University of East London,England,www.uel.ac.uk,N/A,https://www.uel.ac.uk/about/annual-reports-financial-statements/message-professor-amanda-broderick-vice-chancellor-president
University of East London,England,www.uel.ac.uk,N/A,https://www.uel.ac.uk/about/governance/remuneration-committee-annual-report
Edge Hill University,England,www.edgehill.ac.uk,N/A,https://www.edgehill.ac.uk/document/report-and-financial-statements/
University of Essex,England,www.essex.ac.uk,2016,https://www.essex.ac.uk/-/media/documents/about/financial-statements/financial-statements-2016-17.pdf
Falmouth University,England,www.falmouth.ac.uk,2023,https://www.falmouth.ac.uk/sites/default/files/media/downloads/falmouth-annual-report-and-audited-financial-statements-2023-24.pdf
Falmouth University,England,www.falmouth.ac.uk,2022,https://www.falmouth.ac.uk/sites/default/files/media/downloads/Audited+Financial+Statements+2022.pdf
Falmouth University,England,www.falmouth.ac.uk,N/A,https://www.falmouth.ac.uk/sites/default/files/download/an_insiders_guide_to_finance_and_accounting_in_he.pdf
Goldsmiths College,England,www.gold.ac.uk,2017,https://www.gold.ac.uk/media/documents-by-section/about-us/governance/00160_financial_statements_2017-v4_Final.pdf
University of Greenwich,England,www.advance-he.ac.uk,2024,https://www.advance-he.ac.uk/sites/default/files/2024-12/Advance_HE_Annual_Report_and_Accounts_2023-24-Signed.pdf
University of Hertfordshire,England,www.herts.ac.uk,2014,https://www.herts.ac.uk/__data/assets/pdf_file/0004/426523/Annual-Report-and-Financial-Statements-2014-15.pdf
University of Hertfordshire,England,www.herts.ac.uk,2013,https://www.herts.ac.uk/__data/assets/pdf_file/0003/76656/KM1509_UH_Accounts_2013-14.pdf
University of Hertfordshire,England,www.herts.ac.uk,2012,https://www.herts.ac.uk/__data/assets/pdf_file/0005/47966/Annual-report-and-accounts_2012-13.pdf
University of Hertfordshire,England,www.herts.ac.uk,2011,https://www.herts.ac.uk/__data/assets/pdf_file/0009/9396/annual-report-and-accounts_2011-12.pdf
University of Hertfordshire,England,www.herts.ac.uk,N/A,https://www.herts.ac.uk/__data/assets/pdf_file/0019/263125/HS0706-Strategic-Financial-Report_P17_nov19.pdf
University of Hull,England,www.hull.ac.uk,2020,https://www.hull.ac.uk/choose-hull/university-and-region/key-documents/docs/annual-report-and-statement-of-accounts-2020-21.pdf
University of Hull,England,www.hull.ac.uk,2013,https://www.hull.ac.uk/editor-assets/docs/Statement-of-Accounts-2013-14.pdf
University of Hull,England,www.hull.ac.uk,N/A,https://www.hull.ac.uk/editor-assets/docs/statementsofaccounts07-08.pdf
University of Keele,England,www.keele.ac.uk,N/A,https://www.keele.ac.uk/finance/accounts/
King’s College London,England,www.kcl.ac.uk,N/A,https://www.kcl.ac.uk/assets/policyzone/finance/financial-procedures.pdf
University of Lancaster,England,www.lancaster.ac.uk,N/A,https://www.lancaster.ac.uk/finance/financial-statements/
The University of Leicester,England,www.dmu.ac.uk,N/A,https://www.dmu.ac.uk/governance/finance/taxation.aspx
The University of Leicester,England,www.dmu.ac.uk,N/A,https://www.dmu.ac.uk/documents/about-dmu-documents/university-governance/annual-reports/dmu-annual-accounts.pdf
University of Liverpool,England,www.liverpool.ac.uk,2024,https://www.liverpool.ac.uk/media/livacuk/hr/pensions/trustee-report-accounts-2024.pdf
University of Liverpool,England,www.liverpool.ac.uk,2022,"https://www.liverpool.ac.uk/media/livacuk/finance/Annual,Accounts,2021-2022.pdf"
Liverpool John Moores University,England,www.advance-he.ac.uk,2024,https://www.advance-he.ac.uk/sites/default/files/2024-12/Advance_HE_Annual_Report_and_Accounts_2023-24-Signed.pdf
Liverpool John Moores University,England,www.advance-he.ac.uk,2023,https://www.advance-he.ac.uk/sites/default/files/2023-12/Advance+HE+Annual+Report+and+Accounts+2022-23.pdf
University College London,England,www.london.ac.uk,2017,https://www.london.ac.uk/sites/default/files/2017-10/Financial_Statements_2014_15.pdf
University College London,England,www.london.ac.uk,2012,https://www.london.ac.uk/sites/default/files/governance/Financial-Statements-2012-13.pdf
University College London,England,www.london.ac.uk,N/A,https://www.london.ac.uk/about/finance/annual-reports-financial-statements
University of London,England,www.london.ac.uk,2023,https://www.london.ac.uk/sites/default/files/Financial-Statements-2023.pdf
University of London,England,www.london.ac.uk,2012,https://www.london.ac.uk/sites/default/files/governance/Financial-Statements-2012-13.pdf
University of London,England,www.london.ac.uk,N/A,https://www.london.ac.uk/about/finance/annual-reports-financial-statements
London Business School,England,www.london.ac.uk,2023,https://www.london.ac.uk/sites/default/files/Financial-Statements-2023.pdf
London Business School,England,www.london.ac.uk,2012,https://www.london.ac.uk/sites/default/files/governance/Financial-Statements-2012-13.pdf
London Business School,England,www.london.ac.uk,N/A,https://www.london.ac.uk/about/finance/annual-reports-financial-statements
London South Bank University,England,www.southbankcolleges.ac.uk,N/A,https://www.southbankcolleges.ac.uk/documents/governance/annual-accounts/lambeth-college/59-14-15-financial-statements/file
London South Bank University,England,www.southbankcolleges.ac.uk,N/A,https://www.southbankcolleges.ac.uk/about-us/governance/annual-accounts
Middlesex University,England,www.mdx.ac.uk,2024,https://www.mdx.ac.uk/media/middlesex-university/about-us-pdfs/MDX_Financial-Statements_22_23_Stage-35_Accessible-version_April-2024.pdf
Middlesex University,England,www.mdx.ac.uk,N/A,https://www.mdx.ac.uk/about-us/external-examiners/annual-reporting/
University of Northampton,England,www.northampton.ac.uk,2025,https://www.northampton.ac.uk/wp-content/uploads/2025/01/university-of-northampton-financial-statements-year-ended-31-july-2024.pdf
University of Northampton,England,www.northampton.ac.uk,2024,https://www.northampton.ac.uk/wp-content/uploads/2024/10/equality-diversity-and-inclusion-edi-annual-report-2023-24.docx
University of Northampton,England,www.northampton.ac.uk,2024,https://www.northampton.ac.uk/wp-content/uploads/2024/05/uon-annual-report-and-financial-statements-for-year-ended-31-July-2023.pdf
University of Northampton,England,www.northampton.ac.uk,2024,https://www.northampton.ac.uk/wp-content/uploads/2024/04/environment-sustainability-report-20222023.pdf
University of Northampton,England,www.northampton.ac.uk,2024,https://www.northampton.ac.uk/wp-content/uploads/2024/07/isii-app-financial-report-2023-2024.pdf
University of Northampton,England,www.northampton.ac.uk,2021,https://www.northampton.ac.uk/wp-content/uploads/2021/11/environment-and-sustainability-annual-operational-report.pdf
University of Northampton,England,www.northampton.ac.uk,2021,https://www.northampton.ac.uk/wp-content/uploads/2021/07/uon-annual-report-and-financal-accounts-year-ending-2020.pdf
Norwich University of the Arts,England,norwichuni.ac.uk,2023,https://norwichuni.ac.uk/app/uploads/2023/12/Financial-Statements-for-2022-23.pdf
Norwich University of the Arts,England,norwichuni.ac.uk,N/A,https://norwichuni.ac.uk/about-us/governance/university-financial-statements/
The University of Nottingham,England,www.nottingham.ac.uk,2024,https://www.nottingham.ac.uk/FABS/Finance/documents/Financialstatements/2024-university-of-nottingham-report-accounts-signed-v2.pdf
